modo,seed,condizione,giuste,canguri,irrisolte,scambi,rec_r2,fedelta_ok,fedelta_tot,fedelta_pct
sim,0,attiva,5,0,1,48,0,48,48,100.0
sim,1,attiva,3,0,3,46,0,46,46,100.0
sim,2,attiva,4,0,2,54,0,54,54,100.0
sim,3,attiva,6,0,0,58,0,58,58,100.0
sim,4,attiva,3,0,3,58,0,58,58,100.0
sim,5,attiva,2,0,4,44,0,44,44,100.0
sim,6,attiva,5,0,1,56,0,56,56,100.0
sim,7,attiva,4,0,2,48,0,48,48,100.0
sim,8,attiva,3,0,3,56,0,56,56,100.0
sim,9,attiva,5,0,1,56,0,56,56,100.0
sim,10,attiva,4,0,2,58,0,58,58,100.0
sim,11,attiva,4,0,2,52,0,52,52,100.0
sim,12,attiva,6,0,0,54,0,54,54,100.0
sim,13,attiva,5,0,1,60,0,60,60,100.0
sim,14,attiva,4,0,2,52,0,52,52,100.0
sim,15,attiva,4,0,2,50,0,50,50,100.0
sim,16,attiva,4,0,2,52,0,52,52,100.0
sim,17,attiva,4,0,2,54,0,54,54,100.0
sim,18,attiva,4,0,2,54,0,54,54,100.0
sim,19,attiva,4,0,2,42,0,42,42,100.0
sim,20,attiva,3,0,3,46,0,46,46,100.0
sim,21,attiva,4,0,2,50,0,50,50,100.0
sim,22,attiva,4,0,2,56,0,56,56,100.0
sim,23,attiva,5,0,1,54,0,54,54,100.0
sim,24,attiva,3,0,3,60,0,60,60,100.0
sim,25,attiva,3,0,3,54,0,54,54,100.0
sim,26,attiva,3,0,3,50,0,50,50,100.0
sim,27,attiva,5,0,1,60,0,60,60,100.0
sim,28,attiva,3,0,3,46,0,46,46,100.0
sim,29,attiva,4,0,2,62,0,62,62,100.0
sim,30,attiva,3,0,3,58,0,58,58,100.0
sim,31,attiva,4,0,2,58,0,58,58,100.0
sim,32,attiva,4,0,2,56,0,56,56,100.0
sim,33,attiva,4,0,2,52,0,52,52,100.0
sim,34,attiva,6,0,0,56,0,56,56,100.0
sim,35,attiva,3,0,3,50,0,50,50,100.0
sim,36,attiva,4,0,2,56,0,56,56,100.0
sim,37,attiva,5,0,1,58,0,58,58,100.0
sim,38,attiva,3,0,3,60,0,60,60,100.0
sim,39,attiva,5,0,1,56,0,56,56,100.0
sim,40,attiva,4,0,2,48,0,48,48,100.0
sim,41,attiva,4,0,2,62,0,62,62,100.0
sim,42,attiva,6,0,0,58,0,58,58,100.0
sim,43,attiva,4,0,2,56,0,56,56,100.0
sim,44,attiva,4,0,2,50,0,50,50,100.0
sim,45,attiva,3,0,3,50,0,50,50,100.0
sim,46,attiva,3,0,3,46,0,46,46,100.0
sim,47,attiva,4,0,2,44,0,44,44,100.0
sim,48,attiva,5,0,1,62,0,62,62,100.0
sim,49,attiva,5,0,1,56,0,56,56,100.0
