modo,seed,condizione,giuste,canguri,irrisolte,scambi,rec_r2,fedelta_ok,fedelta_tot,fedelta_pct
sim,0,attiva_r2,5,0,1,51,0,51,51,100.0
sim,1,attiva_r2,3,0,3,55,0,55,55,100.0
sim,2,attiva_r2,5,0,1,60,1,60,60,100.0
sim,3,attiva_r2,6,0,0,58,0,58,58,100.0
sim,4,attiva_r2,4,0,2,67,1,67,67,100.0
sim,5,attiva_r2,4,0,2,56,2,56,56,100.0
sim,6,attiva_r2,5,0,1,59,0,59,59,100.0
sim,7,attiva_r2,4,0,2,54,0,54,54,100.0
sim,8,attiva_r2,3,0,3,65,0,65,65,100.0
sim,9,attiva_r2,6,0,0,59,1,59,59,100.0
sim,10,attiva_r2,5,0,1,64,1,64,64,100.0
sim,11,attiva_r2,5,0,1,58,1,58,58,100.0
sim,12,attiva_r2,6,0,0,54,0,54,54,100.0
sim,13,attiva_r2,5,0,1,63,0,63,63,100.0
sim,14,attiva_r2,5,0,1,58,1,58,58,100.0
sim,15,attiva_r2,5,0,1,56,1,56,56,100.0
sim,16,attiva_r2,4,0,2,58,0,58,58,100.0
sim,17,attiva_r2,5,0,1,60,1,60,60,100.0
sim,18,attiva_r2,5,0,1,60,1,60,60,100.0
sim,19,attiva_r2,5,0,1,48,1,48,48,100.0
sim,20,attiva_r2,3,0,3,55,0,55,55,100.0
sim,21,attiva_r2,4,0,2,56,0,56,56,100.0
sim,22,attiva_r2,4,0,2,62,0,62,62,100.0
sim,23,attiva_r2,5,0,1,57,0,57,57,100.0
sim,24,attiva_r2,4,0,2,69,1,69,69,100.0
sim,25,attiva_r2,5,0,1,63,2,63,63,100.0
sim,26,attiva_r2,4,0,2,59,1,59,59,100.0
sim,27,attiva_r2,5,0,1,63,0,63,63,100.0
sim,28,attiva_r2,4,0,2,55,1,55,55,100.0
sim,29,attiva_r2,4,0,2,68,0,68,68,100.0
sim,30,attiva_r2,4,0,2,67,1,67,67,100.0
sim,31,attiva_r2,5,0,1,64,1,64,64,100.0
sim,32,attiva_r2,5,0,1,62,1,62,62,100.0
sim,33,attiva_r2,4,0,2,58,0,58,58,100.0
sim,34,attiva_r2,6,0,0,56,0,56,56,100.0
sim,35,attiva_r2,5,0,1,59,2,59,59,100.0
sim,36,attiva_r2,6,0,0,62,2,62,62,100.0
sim,37,attiva_r2,5,0,1,61,0,61,61,100.0
sim,38,attiva_r2,5,0,1,69,2,69,69,100.0
sim,39,attiva_r2,6,0,0,59,1,59,59,100.0
sim,40,attiva_r2,5,0,1,54,1,54,54,100.0
sim,41,attiva_r2,4,0,2,68,0,68,68,100.0
sim,42,attiva_r2,6,0,0,58,0,58,58,100.0
sim,43,attiva_r2,5,0,1,62,1,62,62,100.0
sim,44,attiva_r2,4,0,2,56,0,56,56,100.0
sim,45,attiva_r2,4,0,2,59,1,59,59,100.0
sim,46,attiva_r2,5,0,1,55,2,55,55,100.0
sim,47,attiva_r2,4,0,2,50,0,50,50,100.0
sim,48,attiva_r2,6,0,0,65,1,65,65,100.0
sim,49,attiva_r2,5,0,1,59,0,59,59,100.0
