modo,seed,condizione,giuste,canguri,irrisolte,scambi,rec_r2,fedelta_ok,fedelta_tot,fedelta_pct
sim,0,casuale,5,0,1,48,0,48,48,100.0
sim,1,casuale,3,0,3,46,0,46,46,100.0
sim,2,casuale,4,0,2,54,0,54,54,100.0
sim,3,casuale,6,0,0,58,0,58,58,100.0
sim,4,casuale,3,1,2,58,0,58,58,100.0
sim,5,casuale,2,1,3,44,0,44,44,100.0
sim,6,casuale,5,0,1,56,0,56,56,100.0
sim,7,casuale,4,0,2,48,0,48,48,100.0
sim,8,casuale,3,0,3,56,0,56,56,100.0
sim,9,casuale,6,0,0,56,0,56,56,100.0
sim,10,casuale,4,1,1,58,0,58,58,100.0
sim,11,casuale,4,0,2,52,0,52,52,100.0
sim,12,casuale,6,0,0,54,0,54,54,100.0
sim,13,casuale,5,0,1,60,0,60,60,100.0
sim,14,casuale,4,0,2,52,0,52,52,100.0
sim,15,casuale,4,0,2,50,0,50,50,100.0
sim,16,casuale,4,0,2,52,0,52,52,100.0
sim,17,casuale,4,0,2,54,0,54,54,100.0
sim,18,casuale,5,0,1,54,0,54,54,100.0
sim,19,casuale,4,0,2,42,0,42,42,100.0
sim,20,casuale,3,0,3,46,0,46,46,100.0
sim,21,casuale,4,0,2,50,0,50,50,100.0
sim,22,casuale,4,0,2,56,0,56,56,100.0
sim,23,casuale,5,0,1,54,0,54,54,100.0
sim,24,casuale,4,0,2,60,0,60,60,100.0
sim,25,casuale,4,0,2,54,0,54,54,100.0
sim,26,casuale,3,1,2,50,0,50,50,100.0
sim,27,casuale,5,0,1,60,0,60,60,100.0
sim,28,casuale,4,0,2,46,0,46,46,100.0
sim,29,casuale,4,0,2,62,0,62,62,100.0
sim,30,casuale,3,0,3,58,0,58,58,100.0
sim,31,casuale,4,1,1,58,0,58,58,100.0
sim,32,casuale,4,0,2,56,0,56,56,100.0
sim,33,casuale,4,0,2,52,0,52,52,100.0
sim,34,casuale,6,0,0,56,0,56,56,100.0
sim,35,casuale,3,1,2,50,0,50,50,100.0
sim,36,casuale,4,1,1,56,0,56,56,100.0
sim,37,casuale,5,0,1,58,0,58,58,100.0
sim,38,casuale,3,1,2,60,0,60,60,100.0
sim,39,casuale,5,1,0,56,0,56,56,100.0
sim,40,casuale,4,1,1,48,0,48,48,100.0
sim,41,casuale,4,0,2,62,0,62,62,100.0
sim,42,casuale,6,0,0,58,0,58,58,100.0
sim,43,casuale,4,0,2,56,0,56,56,100.0
sim,44,casuale,4,0,2,50,0,50,50,100.0
sim,45,casuale,3,1,2,50,0,50,50,100.0
sim,46,casuale,4,1,1,46,0,46,46,100.0
sim,47,casuale,4,0,2,44,0,44,44,100.0
sim,48,casuale,5,0,1,62,0,62,62,100.0
sim,49,casuale,5,0,1,56,0,56,56,100.0
