versione,braccio,modello,seed,parola,esito,scambi_run
v3,llm,claude-haiku-4-5,0,GUMO,irrisolta,76
v3,llm,claude-haiku-4-5,0,NUR,GIUSTA,76
v3,llm,claude-haiku-4-5,0,TAK,GIUSTA,76
v3,llm,claude-haiku-4-5,0,TIN,GIUSTA,76
v3,llm,claude-haiku-4-5,0,ZAKA,GIUSTA,76
v3,llm,claude-haiku-4-5,0,ZEFU,GIUSTA,76
v3,llm,claude-haiku-4-5,0,ZIBO,GIUSTA,76
v3,llm,claude-haiku-4-5,0,ZUMU,GIUSTA,76
v3,llm,claude-haiku-4-5,1,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,1,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,1,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,1,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,1,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,1,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,1,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,1,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,2,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,2,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,2,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,2,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,2,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,2,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,2,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,2,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,3,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,3,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,3,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,3,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,3,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,3,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,3,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,3,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,4,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,4,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,4,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,4,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,4,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,4,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,4,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,4,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,5,GUMO,irrisolta,76
v3,llm,claude-haiku-4-5,5,NUR,GIUSTA,76
v3,llm,claude-haiku-4-5,5,TAK,GIUSTA,76
v3,llm,claude-haiku-4-5,5,TIN,GIUSTA,76
v3,llm,claude-haiku-4-5,5,ZAKA,GIUSTA,76
v3,llm,claude-haiku-4-5,5,ZEFU,GIUSTA,76
v3,llm,claude-haiku-4-5,5,ZIBO,GIUSTA,76
v3,llm,claude-haiku-4-5,5,ZUMU,GIUSTA,76
v3,llm,claude-haiku-4-5,6,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,6,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,6,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,6,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,6,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,6,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,6,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,6,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,7,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,7,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,7,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,7,TIN,GIUSTA,72
v3,llm,claude-haiku-4-5,7,ZAKA,GIUSTA,72
v3,llm,claude-haiku-4-5,7,ZEFU,GIUSTA,72
v3,llm,claude-haiku-4-5,7,ZIBO,GIUSTA,72
v3,llm,claude-haiku-4-5,7,ZUMU,GIUSTA,72
v3,llm,claude-haiku-4-5,8,GUMO,irrisolta,72
v3,llm,claude-haiku-4-5,8,NUR,irrisolta,72
v3,llm,claude-haiku-4-5,8,TAK,GIUSTA,72
v3,llm,claude-haiku-4-5,8,TIN,GIUSTA,72
