versione,braccio,modello,seed,parola,esito,scambi_run
v3,llm,claude-sonnet-4-6,0,GUMO,GIUSTA,80
v3,llm,claude-sonnet-4-6,0,NUR,GIUSTA,80
v3,llm,claude-sonnet-4-6,0,TAK,GIUSTA,80
v3,llm,claude-sonnet-4-6,0,TIN,GIUSTA,80
v3,llm,claude-sonnet-4-6,0,ZAKA,GIUSTA,80
v3,llm,claude-sonnet-4-6,0,ZEFU,GIUSTA,80
v3,llm,claude-sonnet-4-6,0,ZIBO,GIUSTA,80
v3,llm,claude-sonnet-4-6,0,ZUMU,GIUSTA,80
v3,llm,claude-sonnet-4-6,1,GUMO,GIUSTA,80
v3,llm,claude-sonnet-4-6,1,NUR,GIUSTA,80
v3,llm,claude-sonnet-4-6,1,TAK,GIUSTA,80
v3,llm,claude-sonnet-4-6,1,TIN,GIUSTA,80
v3,llm,claude-sonnet-4-6,1,ZAKA,GIUSTA,80
v3,llm,claude-sonnet-4-6,1,ZEFU,GIUSTA,80
v3,llm,claude-sonnet-4-6,1,ZIBO,GIUSTA,80
v3,llm,claude-sonnet-4-6,1,ZUMU,GIUSTA,80
v3,llm,claude-sonnet-4-6,2,GUMO,irrisolta,76
v3,llm,claude-sonnet-4-6,2,NUR,GIUSTA,76
v3,llm,claude-sonnet-4-6,2,TAK,GIUSTA,76
v3,llm,claude-sonnet-4-6,2,TIN,GIUSTA,76
v3,llm,claude-sonnet-4-6,2,ZAKA,GIUSTA,76
v3,llm,claude-sonnet-4-6,2,ZEFU,GIUSTA,76
v3,llm,claude-sonnet-4-6,2,ZIBO,GIUSTA,76
v3,llm,claude-sonnet-4-6,2,ZUMU,GIUSTA,76
v3,llm,claude-sonnet-4-6,3,GUMO,irrisolta,76
v3,llm,claude-sonnet-4-6,3,NUR,GIUSTA,76
v3,llm,claude-sonnet-4-6,3,TAK,GIUSTA,76
v3,llm,claude-sonnet-4-6,3,TIN,GIUSTA,76
v3,llm,claude-sonnet-4-6,3,ZAKA,GIUSTA,76
v3,llm,claude-sonnet-4-6,3,ZEFU,GIUSTA,76
v3,llm,claude-sonnet-4-6,3,ZIBO,GIUSTA,76
v3,llm,claude-sonnet-4-6,3,ZUMU,GIUSTA,76
v3,llm,claude-sonnet-4-6,4,GUMO,irrisolta,76
v3,llm,claude-sonnet-4-6,4,NUR,GIUSTA,76
v3,llm,claude-sonnet-4-6,4,TAK,GIUSTA,76
v3,llm,claude-sonnet-4-6,4,TIN,GIUSTA,76
v3,llm,claude-sonnet-4-6,4,ZAKA,GIUSTA,76
v3,llm,claude-sonnet-4-6,4,ZEFU,GIUSTA,76
v3,llm,claude-sonnet-4-6,4,ZIBO,GIUSTA,76
v3,llm,claude-sonnet-4-6,4,ZUMU,GIUSTA,76
v3,llm,claude-sonnet-4-6,5,GUMO,irrisolta,76
v3,llm,claude-sonnet-4-6,5,NUR,GIUSTA,76
v3,llm,claude-sonnet-4-6,5,TAK,GIUSTA,76
v3,llm,claude-sonnet-4-6,5,TIN,GIUSTA,76
v3,llm,claude-sonnet-4-6,5,ZAKA,GIUSTA,76
v3,llm,claude-sonnet-4-6,5,ZEFU,GIUSTA,76
v3,llm,claude-sonnet-4-6,5,ZIBO,GIUSTA,76
v3,llm,claude-sonnet-4-6,5,ZUMU,GIUSTA,76
v3,llm,claude-sonnet-4-6,6,GUMO,GIUSTA,76
v3,llm,claude-sonnet-4-6,6,NUR,irrisolta,76
v3,llm,claude-sonnet-4-6,6,TAK,GIUSTA,76
v3,llm,claude-sonnet-4-6,6,TIN,GIUSTA,76
v3,llm,claude-sonnet-4-6,6,ZAKA,GIUSTA,76
v3,llm,claude-sonnet-4-6,6,ZEFU,GIUSTA,76
v3,llm,claude-sonnet-4-6,6,ZIBO,GIUSTA,76
v3,llm,claude-sonnet-4-6,6,ZUMU,GIUSTA,76
v3,llm,claude-sonnet-4-6,7,GUMO,GIUSTA,80
v3,llm,claude-sonnet-4-6,7,NUR,GIUSTA,80
v3,llm,claude-sonnet-4-6,7,TAK,GIUSTA,80
v3,llm,claude-sonnet-4-6,7,TIN,GIUSTA,80
v3,llm,claude-sonnet-4-6,7,ZAKA,GIUSTA,80
v3,llm,claude-sonnet-4-6,7,ZEFU,GIUSTA,80
v3,llm,claude-sonnet-4-6,7,ZIBO,GIUSTA,80
v3,llm,claude-sonnet-4-6,7,ZUMU,GIUSTA,80
v3,llm,claude-sonnet-4-6,8,GUMO,irrisolta,76
v3,llm,claude-sonnet-4-6,8,NUR,GIUSTA,76
v3,llm,claude-sonnet-4-6,8,TAK,GIUSTA,76
v3,llm,claude-sonnet-4-6,8,TIN,GIUSTA,76
v3,llm,claude-sonnet-4-6,8,ZAKA,GIUSTA,76
v3,llm,claude-sonnet-4-6,8,ZEFU,GIUSTA,76
v3,llm,claude-sonnet-4-6,8,ZIBO,GIUSTA,76
v3,llm,claude-sonnet-4-6,8,ZUMU,GIUSTA,76
v3,llm,claude-sonnet-4-6,9,GUMO,irrisolta,76
v3,llm,claude-sonnet-4-6,9,NUR,GIUSTA,76
